,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SCI-FI,SPORT,T,THRILLER,W,WAR,WESTERN
120,La casa de la pradera,(1974–1983),Not Rated,60.0,7.5,NaN,23762.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
121,La conquista del Oeste,(1962),7,164.0,7.0,56.0,21189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
122,La conquista del Oeste,(1976–1979),,NaN,8.3,NaN,2293.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
123,La diligencia,(1939),A,96.0,7.8,93.0,49439.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
124,La doctora Quinn,(1993–1998),,60.0,6.8,NaN,12363.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
125,La letra escarlata,(1995),13,135.0,5.3,NaN,15545.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
126,La ley del revólver,(1955–1975),,60.0,8.1,NaN,7306.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
127,La leyenda de la ciudad sin nombre,(1969),13,164.0,6.6,50.0,13869.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
128,La leyenda del Zorro,(2005),7,129.0,5.9,47.0,102476.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
129,La modista,(I) (2015),12,119.0,7.0,47.0,61204.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130,La muerte tenía un precio,(1965),18,132.0,8.2,74.0,256639.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,La mujer que camina delante,(2017),7,101.0,6.6,51.0,7375.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,La máscara del Zorro,(1998),T,136.0,6.8,63.0,185071.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,La propuesta,(2005),18,104.0,7.3,73.0,53005.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
134,La puerta del cielo,(1980),,219.0,6.7,57.0,15358.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
135,La venganza de Jane,(2015),12,98.0,5.9,49.0,22711.0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,La verdadera historia de la banda de Kelly,(2019),16,124.0,6.0,75.0,11577.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,La vuelta al mundo en 80 días,(2004),A,120.0,5.8,49.0,90467.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
138,Ladrones de trenes,(1973),,92.0,6.4,64.0,6080.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
139,Laramie,(1959–1963),,60.0,7.7,NaN,1233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
140,Las aventuras de Brisco County,(1993–1994),,45.0,8.3,NaN,8681.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
141,Las aventuras de Jeremiah Johnson,(1972),A,108.0,7.5,75.0,32091.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
142,Lawman,(1958–1962),,30.0,8.1,NaN,765.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,Le llamaban Trinidad,(1970),A,115.0,7.4,NaN,22781.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
144,Leyendas de pasión,(1994),13,133.0,7.5,45.0,167174.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
145,Longmire,(2012–2017),,60.0,8.3,NaN,35865.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
146,Los 100 rifles,(1969),,110.0,6.0,NaN,3527.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
147,Los cowboys,(1972),GP,134.0,7.4,52.0,14736.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
148,Los desesperados,(1943),,87.0,6.4,NaN,1430.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
149,Los dos mosqueteros,(1971–1973),,60.0,7.6,NaN,2103.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,Los fuertes del fuerte,(1965–1967),,30.0,7.3,NaN,3034.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,Los hermanos Sisters,(2018),12,122.0,6.9,78.0,65248.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
