,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DOCUMENTARY,DRAMA,FANTASY,HISTORY,HORROR,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SPORT,THRILLER,W,WAR
120,Secretos de Estado,(2019),7,112.0,7.3,63.0,48267.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
121,Senderos de gloria,(1957),A,88.0,8.4,90.0,197663.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
122,Sin novedad en el frente,(1930),13,152.0,8.1,91.0,62809.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
123,Sin novedad en el frente,(1979 TV Movie),,123.0,7.1,NaN,9324.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
124,Sin novedad en el frente,(2022),16,148.0,7.9,76.0,58626.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
125,Sin remordimientos,(II) (2021),16,109.0,5.8,41.0,58421.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
126,Six,(2017–2018),16,60.0,7.2,NaN,12888.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
127,Strike Back,(2010–2020),18,45.0,8.1,NaN,31930.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
128,The Forgotten Battle,(2020),16,124.0,7.1,NaN,29833.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
129,The Hunger Games: The Ballad of Songbirds and Snakes,(2023),,NaN,NaN,NaN,NaN,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
130,The Imitation Game (Descifrando Enigma),(2014),7/fig,114.0,8.0,71.0,767199.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
131,The King,(I) (2019),16,140.0,7.3,62.0,129879.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
132,The Last Ship,(2014–2018),16,60.0,7.4,NaN,59193.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
133,The Ministry of Ungentlemanly Warfare,,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
134,The Outpost,(2019),16,123.0,6.8,71.0,35056.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
135,The Pacific,(2010),18,530.0,8.3,NaN,112850.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
136,The Sympathizer,,,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
137,The Wall,(II) (2017),12,88.0,6.2,57.0,27683.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
138,Trautmann,(2018),,120.0,7.2,52.0,5388.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
139,Tristán e Isolda,(2006),PG-13,125.0,6.8,49.0,52915.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
140,Tropic Thunder: ¡Una guerra muy perra!,(2008),18,107.0,7.0,71.0,416497.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Una sombra en mi ojo,(2021),16,107.0,7.3,NaN,11842.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
142,Valkiria,(2008),13,121.0,7.1,56.0,245770.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
143,Versailles,(2015–2018),16,52.0,7.9,NaN,16958.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
144,Vikingos,(2013–2020),18,44.0,8.5,NaN,529974.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
145,Vikingos: Valhalla,(2022– ),,51.0,7.2,NaN,39056.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
146,War Horse (Caballo de batalla),(2011),7,146.0,7.2,72.0,158290.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
147,Wonder Woman,(2017),12,141.0,7.4,76.0,656585.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
148,Yo me encargo de la cerveza,(2022),16,126.0,6.8,39.0,14962.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
149,¿Teléfono rojo? Volamos hacia Moscú,(1964),18,95.0,8.4,97.0,490495.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
