,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,ANIMATION,C,COMEDY,CRIME,DRAMA,F,FAMILY,FANTASY,HORROR,I,MYSTERY,ROMANCE,S,SCI-FI,SHORT,THRILLER
170,Snowpiercer: Rompenieves,(2020–2023),16,60.0,6.9,NaN,55051.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
171,Sonic 2: La película,(2022),7,122.0,6.5,47.0,64784.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
172,Spider-Man,(2002),A,121.0,7.4,73.0,815103.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,Spider-Man 2,(2004),7,127.0,7.4,83.0,651791.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
174,Spider-Man 3,(2007),7,139.0,6.3,59.0,589986.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
175,Spider-Man: Across the Spider-Verse,(2023),,NaN,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Spider-Man: Homecoming,(2017),7,133.0,7.4,73.0,653488.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
177,Spider-Man: No Way Home,(2021),7,148.0,8.3,71.0,743655.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
178,Spider-Man: Un nuevo universo,(2018),7,117.0,8.4,87.0,522885.0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,Spiderhead,(2022),16,106.0,5.4,54.0,55076.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
