,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,D,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,O,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR
128,Love Actually,(2003),A,135.0,7.6,55.0,480260.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
129,Love Today,(2022),,154.0,9.0,NaN,4179.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130,"Love, Death & Robots",(2019– ),18,15.0,8.4,NaN,168177.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
131,M*A*S*H,(1972–1983),13,25.0,8.4,NaN,57767.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
132,Malcolm,(2000–2006),TP,22.0,8.1,NaN,132030.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Mamíferos,(2022– ),13,30.0,5.1,NaN,1193.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,Maple Valley Christmas,(2022 TV Movie),,85.0,6.3,NaN,360.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
135,Matilda,(1996),7,98.0,6.9,72.0,153161.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"Matilda de Roald Dahl, el musical",(2022),PG,117.0,6.0,67.0,237.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Mira cómo corren,(2022),12,98.0,6.5,60.0,25286.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,Mismatched,(2020– ),12,30.0,5.7,NaN,5135.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140,Miércoles,(2022– ),,NaN,8.6,NaN,227.0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Modern Family,(2009–2020),13,22.0,8.5,NaN,428954.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,Mom,(2013–2021),12,30.0,7.3,NaN,35574.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,Monica O My Darling,(2022),,129.0,7.7,NaN,5941.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
145,Monk,(2002–2009),13,44.0,8.0,NaN,75874.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Movida del 76,(1993),18,103.0,7.6,78.0,184916.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Mujeres desesperadas,(2004–2012),12,45.0,7.6,NaN,129291.0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
148,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149,My Life Is Murder,(2019– ),,60.0,7.5,NaN,3789.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
