,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,-,ACTION,ADVENTURE,BIOGRAPHY,COMEDY,CRIME,DRAMA,F,FILM-NOIR,HORROR,I,L,M,MYSTERY,ROMANCE,SCI-FI,SPORT,THRILLER
183,Perdición,(1944),A,107,8.3,95.0,157787,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
184,Persecución en la noche,(1947),,101,7.2,NaN,3120,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
185,Perseguido,(1943),,94,6.6,NaN,1569,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
186,Perversidad,(1945),13,102,7.8,NaN,17182,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
187,Pitfall,(1948),,86,7.1,NaN,3955,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
188,Please Murder Me!,(1956),,78,6.5,NaN,1351,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
189,Private Hell 36,(1954),7,81,6.7,NaN,1570,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
190,Punto de ruptura,(1950),,97,7.5,NaN,3573,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
191,Pánico en la escena,(1950),,110,7.0,NaN,14680,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
192,Pánico en las calles,(1950),,96,7.2,NaN,8182,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
193,Que el cielo la juzgue,(1945),,110,7.6,NaN,13407,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
194,Quiero vivir,(1958),,120,7.5,NaN,6752,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
195,Rebeca,(1940),14,130,8.1,86.0,137795,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
196,Recuerda,(1945),18,111,7.5,79.0,49101,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
197,Retorno al abismo,(1945),,86,7.1,NaN,4108,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
