,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,D,DRAMA,FAMILY,FANTASY,HISTORY,HORROR,M,MUSIC,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
122,La materia oscura,(2019–2022),16,60.0,7.8,NaN,64656.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,La monja guerrera,(2020– ),16,NaN,6.9,NaN,36977.0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,La mujer rey,(2022),PG-13,135.0,6.7,77.0,32060.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,La playlist,(2022),12,300.0,7.5,NaN,6361.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,Las amistades peligrosas,(2022– ),18,58.0,5.3,NaN,220.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,Las chicas Gilmore,(2000–2007),7,44.0,8.2,NaN,126992.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,Let the Right One In,(2022– ),,53.0,7.2,NaN,1619.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
129,Ley y orden,(1990– ),13,45.0,7.8,NaN,39157.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130,Ley y orden: Unidad de Víctimas Especiales,(1999– ),18,60.0,8.1,NaN,106761.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
131,Licorice Pizza,(2021),12,133.0,7.2,90.0,112075.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,Living,(2022),PG-13,102.0,7.6,80.0,1230.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Lopez vs. Lopez,(2022– ),,22.0,5.2,NaN,300.0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
134,Los Bridgerton,(2020– ),16,60.0,7.4,NaN,135889.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
135,Los Fabelman,(2022),PG-13,151.0,8.3,86.0,1214.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
136,Los Soprano,(1999–2007),18,55.0,9.2,NaN,396299.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
137,Los asesinatos de Midsomer,(1997– ),12,90.0,7.9,NaN,33606.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
138,Lou,(I) (2022),16,107.0,6.1,51.0,21794.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Lucifer,(2016–2021),12,42.0,8.1,NaN,322957.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
140,M*A*S*H,(1972–1983),13,25.0,8.4,NaN,57767.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
141,Mad Men,(2007–2015),16,47.0,8.7,NaN,238981.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
142,Magpie Murders,(2022– ),,45.0,7.4,NaN,2707.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
143,Malditos bastardos,(2009),18,153.0,8.3,69.0,1438612.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,Mamíferos,(2022– ),13,30.0,5.1,NaN,1193.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
145,Manifest,(2018– ),12,43.0,7.1,NaN,63544.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
146,Medieval,(2022),R,126.0,5.9,46.0,4478.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
147,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196969.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
148,Mi policía,(2022),16,113.0,6.5,50.0,9368.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
