,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,M,MUSIC,MUSICAL,MYSTERY,N,O,R,REALITY-TV,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER,WAR,WESTERN
127,La princesa prometida,(1987),A,98.0,8.0,77.0,426956.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
128,La proposición,(I) (2009),A,108.0,6.7,48.0,328567.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,La sirenita,(2023),,NaN,NaN,NaN,NaN,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,La teoría del todo,(2014),A,123.0,7.7,71.0,450288.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
131,La tienda de los horrores,(1986),A,94.0,7.1,81.0,77591.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
132,La vecina de al lado,(2004),18,109.0,6.7,47.0,225904.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
133,La vida de Adèle,(2013),16,180.0,7.7,89.0,152832.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,La vida es bella,(1997),A,116.0,8.6,59.0,690989.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,Laal Singh Chaddha,(2022),7,159.0,5.4,46.0,171038.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
136,Langosta,(2015),16,119.0,7.1,82.0,255981.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
137,Legend,(1985),,94.0,6.3,30.0,66860.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
138,Leyendas de pasión,(1994),13,133.0,7.5,45.0,167174.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
139,Licorice Pizza,(2021),12,133.0,7.2,90.0,110346.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
