,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,E,FAMILY,FANTASY,HISTORY,HORROR,I,M,MYSTERY,R,ROMANCE,SCI-FI,SHORT,SPORT,THRILLER
130,Ladrón de guante blanco,(2009–2014),12,40.0,8.3,NaN,131947.0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Las dos caras de la verdad,(1996),18,129.0,7.7,47.0,218486.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
132,Le llaman Bodhi,(1991),18,122.0,7.2,58.0,184302.0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
133,Legend,(I) (2015),16,132.0,6.9,55.0,183684.0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Ley y orden,(1990– ),13,45.0,7.8,NaN,39157.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
135,Ley y orden: Crimen organizado,(2021– ),,42.0,7.7,NaN,7413.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
136,Ley y orden: Unidad de Víctimas Especiales,(1999– ),18,60.0,8.1,NaN,106761.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,Line of Duty,(2012–2021),16,60.0,8.7,NaN,59378.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
138,Longmire,(2012–2017),,60.0,8.3,NaN,35951.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Los Soprano,(1999–2007),18,55.0,9.2,NaN,396299.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Los asesinatos de Midsomer,(1997– ),12,90.0,7.9,NaN,33606.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
141,Los entresijos de la FIFA,(2022),7,221.0,7.5,NaN,1497.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
142,Los misterios de Murdoch,(2008– ),7,48.0,8.2,NaN,14627.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
143,Los odiosos ocho,(2015),18,168.0,7.8,68.0,597756.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
144,Los tipos malos,(2022),A/i,100.0,6.8,64.0,37549.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Lou,(I) (2022),16,107.0,6.1,51.0,21794.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
146,Lucifer,(2016–2021),12,42.0,8.1,NaN,322957.0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
147,Mare of Easttown,(2021),18,60.0,8.4,NaN,155394.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
148,Mayor of Kingstown,(2021– ),,NaN,8.2,NaN,23886.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
149,Mentes criminales,(2005–2020),13,42.0,8.1,NaN,196969.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
150,Mindhunter,(2017–2019),16,60.0,8.6,NaN,287094.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
151,Minions: El origen de Gru,(2022),7/i,87.0,6.6,56.0,60990.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152,Miss Scarlet and the Duke,(2020– ),,60.0,7.6,NaN,6861.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
