,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DOCUMENTARY,DRAMA,F,FAMILY,FANTASY,HORROR,MYSTERY,N,ROMANCE,SCI-FI,SHORT,T,THRILLER,WAR
153,Misa de medianoche,(2021),16,450.0,7.7,NaN,116164.0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
154,Miércoles,(2022– ),,NaN,8.6,NaN,227.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
155,Mob Psycho 100,(2016– ),Not Rated,24.0,8.6,NaN,31843.0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,Ms. Marvel,(2022),7,271.0,6.2,NaN,101198.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Mundo extraño,(2022),PG,102.0,NaN,NaN,NaN,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,My Hero Academia,(2016– ),12,24.0,8.4,NaN,61992.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Más allá del jardín,(2014),TP,22.0,8.8,NaN,56841.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,Naruto,(2002–2007),13,24.0,8.4,NaN,101861.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Naruto: Shippûden,(2007–2017),13,24.0,8.7,NaN,125849.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
162,Night Sky,(2022),14,55.0,7.4,NaN,17171.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
163,One Piece,(1999– ),13,24.0,8.9,NaN,125021.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
164,One Piece Film Red,(2022),12,115.0,6.9,69.0,6463.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
165,Outlander,(2014– ),16,60.0,8.4,NaN,159777.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
166,Percy Jackson and the Olympians,(2023– ),,60.0,NaN,NaN,NaN,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,Perdidos,(2004–2010),16,44.0,8.3,NaN,552044.0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
