,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,A,ACTION,ADVENTURE,ANIMATION,COMEDY,CRIME,DRAMA,FAMILY,FANTASY,HORROR,I,M,MUSIC,MYSTERY,N,ROMANCE,SCI-FI,SHORT,WAR
84,Frozen II,(2019),A,103.0,6.8,64.0,171917.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,Frozen: El reino del hielo,(I) (2013),A,102.0,7.4,75.0,622811.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,Fullmetal Alchemist: Brotherhood,(2009–2010),13,24.0,9.1,NaN,166412.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,Futurama,(1999–2023),16,22.0,8.5,NaN,237414.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Gintama,(2005–2021),18,25.0,8.7,NaN,11576.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
89,Goofy e hijo,(1995),A,78.0,6.9,53.0,55330.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,Gravity Falls,(2012–2016),TP,23.0,8.9,NaN,107321.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,Green Lantern: Cuidado con mi poder,(2022),PG-13,88.0,6.1,NaN,2012.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
92,Gru 2: Mi villano favorito,(2013),A/i,98.0,7.3,62.0,400761.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,Gru: Mi villano favorito,(2010),A/i,95.0,7.6,72.0,546602.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,Haikyu!! Los ases del vóley,(2014–2020),7,24.0,8.7,NaN,25421.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
95,Harley Quinn,(2019– ),16,23.0,8.5,NaN,29679.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,Hazbin Hotel,(2019– ),,32.0,7.7,NaN,4631.0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Helluva Boss,(2019– ),,174.0,8.1,NaN,4644.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
98,High School DxD,(2012–2018),16,23.0,7.6,NaN,10877.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
99,Historias corrientes,(2009–2017),,23.0,8.5,NaN,45259.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,Hora de aventuras,(2010–2018),,11.0,8.6,NaN,94970.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,Hotel Transilvania,(2012),A/i,91.0,7.0,47.0,256177.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Hotel Transilvania 2,(2015),A,89.0,6.6,44.0,128307.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
103,Hotel Transilvania 3: Unas vacaciones monstruosas,(2018),A,97.0,6.3,54.0,74604.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104,Hotel Transilvania 4: Transformanía,(2022),7,87.0,6.0,46.0,30591.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105,Hunter x Hunter,(2011–2014),,24.0,9.0,NaN,98492.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,Hércules,(1997),A,93.0,7.3,74.0,231843.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
