,MOVIE,YEAR,RATING,RUNTIME (min),IMDB,METASCORE,VOTES,ACTION,ADVENTURE,ANIMATION,BIOGRAPHY,C,COMEDY,CRIME,DOCUMENTARY,DRAMA,FAMILY,FANTASY,GAME-SHOW,HISTORY,HORROR,I,M,MUSIC,MUSICAL,MYSTERY,REALITY-TV,ROMANCE,S,SHORT,TALK-SHOW,THRILLER,U
124,House Party,(1990),,100.0,6.4,76.0,15198.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
125,I Am Woman,(2019),16,116.0,6.6,54.0,2461.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,I Still Believe,(2020),PG,116.0,6.4,41.0,12187.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,I Wanna Dance with Somebody,(2022),,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,I'm Not There,(2007),7,135.0,6.8,73.0,59175.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
129,In Living Color,(1990–1994),,30.0,8.1,NaN,11529.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
130,In the Court of the Crimson King: King Crimson at 50,(2022),,86.0,8.7,NaN,88.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,Josie y las melódicas,(2001),A,98.0,5.5,47.0,23478.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,La bamba,(1987),,108.0,6.9,65.0,34047.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
133,La canción de mi padre,(2018),12,110.0,7.3,30.0,16462.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,La ciudad de las estrellas (La La Land),(2016),A,128.0,8.0,94.0,583171.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
135,La cuadrilla de los once,(1960),13,127.0,6.5,57.0,23429.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
136,La gran chapuza: Woodstock 1999,(2022),16,142.0,7.4,NaN,16260.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
137,La juventud,(I) (2015),12,124.0,7.3,64.0,78954.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
138,La leyenda del pianista en el océano,(1998),7,169.0,8.0,58.0,64711.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
139,La madre del blues,(2020),16,94.0,6.9,87.0,53587.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
140,La perfección,(2018),16,90.0,6.2,60.0,43990.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
141,La pianista,(2001),18,131.0,7.5,79.0,64983.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
142,La playlist,(2022),12,300.0,7.6,NaN,4804.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
143,La rebelde,(1965),,128.0,6.2,NaN,3895.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
144,Las alucinantes aventuras de Bill y Ted,(1989),A,90.0,6.9,50.0,131943.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
145,"Las aventuras de Priscilla, reina del desierto",(1994),13,104.0,7.5,70.0,50871.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
146,Las zapatillas rojas,(1948),A,135.0,8.1,NaN,35384.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
